,ser1,ser2,ser3,r5p1,r5p2,r5p3,r5p4,r5p5,IMP1,IMP2,IMP3,IMP4,IMP5,GMP1,GMP2,GMP3,GMP4,GMP5,INO1,INO2,INO3,INO4,INO5,GUO1,GUO2,GUO3,GUO4,GUO5,GDP1,GDP2,GDP3,GDP4,GDP5,AMP1,AMP2,AMP3,AMP4,AMP5
P4_60,10.90411266,3.487985432,4.948833197,2.066134692,5.291120577,3.294639308,2.400803432,6.233833414,2.734763521,5.238181524,3.220905818,2.313779681,5.934567273,2.282698905,5.017690329,3.155150484,2.236192941,5.769893933,1.434110456,2.952347961,1.767146012,1.311832713,3.260008906,2.155026022,5.196015159,3.224094521,2.342760042,6.068499436,1.496235744,3.570739325,2.086718166,1.540886579,3.992347615,2.049571904,3.875469676,2.482936814,1.70132014,4.346334596
P4_61,13.73037089,2.892913145,5.382021731,2.404664445,4.271462992,2.357312205,2.731057764,6.165284198,3.071329084,3.715900206,2.006884815,2.219830047,4.859712334,2.602133543,3.990431566,2.198543805,2.490740519,5.579684751,1.790397491,2.743958628,1.424510602,1.80984003,3.865184103,2.488114397,4.062824691,2.246337935,2.561463751,5.762182092,1.450682465,2.267321272,1.239893279,1.436822324,3.170298222,1.74180146,2.045510934,1.205334347,1.213986976,2.676497636
P4_62,11.05334753,3.007796901,3.371670995,1.79252787,4.473412839,2.207651432,2.520798656,6.461966639,2.622122321,4.012657552,2.039863093,2.187557863,5.463071984,1.995417403,4.112480478,2.064862867,2.307080145,5.861597641,1.299592005,2.357218196,1.018705908,1.268731011,3.241261244,1.799395678,4.198058612,2.03414189,2.383902503,6.054320171,1.48980747,3.112569164,1.501475929,1.787357323,4.443777698,1.471393732,2.463517621,1.303899848,1.352983516,3.468429833
P4_63,15.16940112,2.829437759,5.174805833,2.202332388,4.73779412,2.91966572,2.63788698,4.78103616,3.06238477,3.986720693,2.476013542,2.131245638,3.867186372,2.503957629,4.144725252,2.562853038,2.301237012,4.203105649,1.8768473,3.446565932,2.113759856,1.890438088,3.37537982,2.242730544,4.231227268,2.647803382,2.375092456,4.350087384,1.701132252,2.928120725,1.859997964,1.577981236,2.769054991,1.817461579,2.268771719,1.508204795,1.220814612,2.223588839
P4_64,11.32823221,4.231854274,5.105621491,2.116516589,5.149014667,3.83103971,2.323731605,6.414549826,3.017648179,4.699441097,3.244878175,2.098473637,5.283439753,2.443349533,4.757112246,3.505835762,2.124564965,5.706408405,1.207786652,2.586600376,1.857952838,1.159469767,2.996767797,2.246253302,5.026050279,3.722545626,2.262559742,6.195234239,1.340258617,2.862422896,2.065354307,1.281813058,3.386378914,2.049103038,3.192522405,2.286811309,1.456712665,3.648546642
P4_65,10.71295584,4.895776022,4.868737929,1.946286128,5.148667696,4.957139301,2.511736419,5.394054512,2.775683379,4.350444132,4.04022295,2.109655285,4.382260195,2.173220836,4.654725969,4.491146172,2.272162461,4.905212026,1.521040918,3.417798788,3.113854306,1.741532896,3.568425512,1.945066884,4.720616427,4.607205643,2.330429841,5.041865271,1.549946509,3.440206242,3.211883516,1.705559207,3.584157472,1.887192164,2.857320565,2.715922705,1.429011941,2.97139845
P4_66,11.33752738,4.448414673,4.676531131,1.740524766,4.629021111,3.671661259,2.476748203,4.432173415,2.171535473,3.486138273,2.348715885,1.981050435,3.534183948,1.818168969,3.857414038,2.910449855,2.173500813,3.744471973,1.284418872,2.540916656,1.909954849,1.433116822,2.563505012,1.707493513,4.217144457,3.214574884,2.333982708,4.121161818,1.533649458,2.957504229,2.175838418,1.786817725,2.965687032,1.534811791,2.467378896,1.720855002,1.359505741,2.475325737
P4_67,10.62091202,4.339158241,5.970285752,3.371426674,6.600588452,7.056167679,2.473453012,5.559553972,4.350081001,6.367809839,6.644990427,2.338985846,4.956772174,3.204261448,5.613589703,5.945572817,2.077989776,4.586056527,2.711386521,4.795357984,5.083094325,1.795027008,3.952579032,3.34689524,6.259804373,6.768035905,2.338988581,5.247729235,1.788720581,3.306771396,3.246095758,1.248055857,2.595179469,3.135030449,4.687951837,4.875745943,1.699017785,3.573862155
P4_68,12.29223939,4.586922579,7.546634028,1.923049703,3.39359799,2.197092599,1.598884541,3.217143083,2.611450665,3.46974123,2.141095359,1.514740389,2.959314807,1.888221272,2.719100646,1.752516401,1.361412437,2.513926148,1.671635457,2.810536557,1.828926633,1.295149422,2.615928995,1.937038256,3.285450678,2.11643262,1.525222236,3.085791401,1.572758261,2.196531237,1.425263788,1.140832796,2.021591341,1.81802991,2.309835889,1.378025469,1.08346883,1.941021138
P4_69,11.1237079,3.861531009,6.352470212,2.218419627,5.235577458,4.062097476,2.159231592,5.468684653,2.86950155,5.043589175,3.878905687,2.04337533,5.100247864,2.400038076,4.935559641,3.833175497,2.036874669,5.161091732,1.845726265,3.704181494,2.886320677,1.490075891,3.70251845,2.206462797,4.866192384,3.777549816,2.041814269,5.165048016,1.68626016,3.81580951,2.818666616,1.568373063,4.000299508,2.123373371,3.691905637,2.978950474,1.503994774,3.77182682
